day
"0,270,5,32,10,73,16,25,5,165,2,35,4,300,1,53,10,117,0,370"
"4,150,16,7,4,623,16,5,8,35,16,20,5,30,2,10,8,14,16,37,1,4,10,295,0,210"
"0,270,1,75,16,30,9,15,16,5,8,40,16,5,10,10,16,17,8,63,16,10,4,90,16,10,5,45,2,35,16,10,1,25,16,25,10,30,16,30,10,245,5,40,10,45,0,270"
"0,240,1,60,10,50,16,5,5,55,2,32,16,8,10,10,16,12,2,8,4,60,2,2,10,28,16,30,0,50,16,10,6,50,16,35,11,35,16,70,6,20,2,22,10,118,1,40,0,390"
"0,170,2,20,16,5,4,285,2,15,3,205,16,5,6,6,16,14,5,30,1,10,16,30,5,10,16,10,6,20,16,7,10,118,0,480"
"0,165,10,135,5,70,10,50,5,60,2,50,10,130,4,275,5,10,2,75,16,40,1,5,0,375"
"0,270,5,345,6,60,16,90,8,35,16,13,8,2,16,12,8,18,16,35,11,40,16,30,10,15,1,10,10,200,0,265"
"0,480,5,35,0,85,10,420,0,420"
"0,120,5,60,6,20,1,25,10,45,5,15,16,10,5,12,2,38,4,105,2,15,10,50,15,85,16,40,10,10,16,3,1,7,14,59,4,31,16,25,5,5,10,26,16,21,5,43,2,10,5,60,10,293,1,117,0,90"
"0,240,5,60,6,120,16,10,7,61,10,19,16,5,14,72,5,153,10,40,16,10,13,50,16,15,2,25,5,35,10,58,2,12,10,155,0,300"
"0,210,5,15,6,10,16,85,5,50,3,230,2,25,4,155,16,15,1,15,5,60,10,150,0,420"
"0,420,1,30,2,20,16,5,2,25,4,100,2,30,4,60,14,62,16,36,12,262,16,10,5,30,10,140,0,210"
"0,180,5,100,6,21,16,74,5,45,1,60,16,3,8,2,16,15,9,7,14,45,2,18,16,20,2,10,5,31,1,4,10,75,5,115,10,5,5,1,10,69,6,147,10,23,0,370"
"0,120,6,60,1,15,2,15,16,30,5,5,2,35,10,110,16,2,2,58,4,90,2,10,3,108,16,3,5,59,10,50,2,70,10,70,4,130,10,40,1,30,0,301,6,15,0,14"
"0,105,5,45,2,5,16,7,7,20,16,68,6,20,16,15,2,5,5,140,2,55,1,55,16,45,0,165,10,14,5,51,16,10,12,65,16,10,7,130,16,45,10,20,2,20,10,25,0,300"
"0,180,5,10,1,50,15,30,16,14,6,146,5,244,10,16,16,25,2,10,10,55,16,10,1,30,10,20,5,60,10,100,11,50,1,70,0,320"
"0,300,1,30,5,5,14,70,10,60,2,45,3,50,16,20,15,20,4,120,16,30,5,50,6,10,16,10,2,50,5,50,10,160,1,50,10,10,0,300"
"0,240,2,10,5,35,16,20,6,92,5,23,10,45,1,75,16,41,10,49,11,100,16,10,5,44,1,16,2,10,6,5,16,9,5,16,2,15,6,97,10,48,15,20,5,50,10,25,0,345"
"1,30,16,19,4,441,16,5,13,75,16,20,2,10,4,150,16,10,10,8,5,2,16,10,10,420,0,240"
"0,60,16,85,4,5,16,40,10,275,16,5,8,85,16,15,10,120,16,25,1,20,10,16,5,29,16,15,8,7,16,24,5,44,10,210,0,360"
"0,240,1,37,5,23,16,15,15,45,16,10,8,70,16,10,8,52,16,43,11,100,16,45,4,30,16,6,5,64,10,110,16,30,5,65,10,25,2,5,6,10,5,47,15,83,0,275"
"5,16,14,1,0,103,10,67,5,18,2,10,16,5,15,15,16,5,4,260,10,40,16,15,15,15,10,178,1,7,10,35,1,70,16,15,5,10,2,10,10,65,5,10,1,34,6,46,0,390"
"0,150,1,30,16,62,3,183,13,55,10,330,4,420,0,117,1,8,0,85"
"1,9,5,1,1,30,16,10,10,25,4,45,1,60,2,10,16,15,4,275,2,90,16,35,8,15,16,55,1,5,16,1,2,9,10,60,16,7,8,18,16,20,6,15,2,5,10,220,0,405"
"0,120,16,5,4,280,2,5,10,310,2,3,5,54,10,393,0,270"
"0,165,6,1,10,238,16,4,5,12,16,3,10,42,16,21,10,89,16,10,5,115,10,110,2,33,5,12,10,435,0,150"
"0,90,10,55,2,15,1,40,5,40,16,42,8,18,16,50,13,55,10,29,16,6,8,20,16,20,9,5,16,30,8,60,16,20,5,61,2,19,0,315,1,15,10,106,0,329"
"0,210,1,30,16,27,4,483,16,22,5,98,1,30,10,165,5,15,1,5,10,80,0,275"
"0,270,2,45,4,150,16,4,8,26,2,36,4,279,2,140,5,70,10,60,16,30,14,120,0,210"
"1,41,16,4,4,45,10,95,16,68,4,227,16,60,4,270,16,17,7,44,16,4,6,115,16,45,7,6,2,9,5,82,14,8,1,5,0,295"
"1,30,16,65,4,115,1,30,16,15,4,105,5,15,14,20,15,115,4,325,16,5,7,47,16,3,10,130,16,40,8,7,2,33,16,15,0,325"
"0,450,16,14,5,150,2,16,5,75,10,270,6,45,0,360,2,10,10,50"
"0,120,5,30,2,45,10,225,5,15,10,120,0,285,2,60,5,45,10,158,0,337"
"10,90,5,61,15,29,16,15,4,192,16,43,8,5,16,6,5,39,2,60,4,180,15,30,10,65,5,10,2,15,10,240,0,360"
"0,180,10,10,2,20,10,100,4,410,16,10,8,40,16,10,8,23,16,37,2,55,5,67,0,448,1,30"
"0,530,16,15,9,45,16,23,5,112,10,40,16,15,5,30,2,20,10,10,0,15,5,45,2,60,16,15,0,465"
"0,150,1,10,6,34,16,29,8,98,5,149,1,120,5,5,10,125,5,35,10,115,5,10,2,20,16,10,2,45,10,204,5,56,10,45,0,180"
